gene_name	gene_biotype	gene_id
TRMT1L	protein_coding	ENSG00000121486
SOAT1	protein_coding	ENSG00000057252
CNST	protein_coding	ENSG00000162852
SOX13	protein_coding	ENSG00000143842
NID1	protein_coding	ENSG00000116962
ZNF678	protein_coding	ENSG00000181450
SLC9C2	protein_coding	ENSG00000162753
LHX9	protein_coding	ENSG00000143355
DESI2	protein_coding	ENSG00000121644
SLC26A9	protein_coding	ENSG00000174502
SLC45A3	protein_coding	ENSG00000158715
ILDR2	protein_coding	ENSG00000143195
KIF26B	protein_coding	ENSG00000162849
RRP15	protein_coding	ENSG00000067533
TMEM59	protein_coding	ENSG00000116209
PTPN14	protein_coding	ENSG00000152104
NEK2	protein_coding	ENSG00000117650
C1orf53	protein_coding	ENSG00000203724
ITLN2	protein_coding	ENSG00000158764
RAB4A	protein_coding	ENSG00000168118
TOMM20	protein_coding	ENSG00000173726
TADA1	protein_coding	ENSG00000152382
REN	protein_coding	ENSG00000143839
DHX9	protein_coding	ENSG00000135829
BTF3L4	protein_coding	ENSG00000134717
SWT1	protein_coding	ENSG00000116668
COP1	protein_coding	ENSG00000143207
SLAMF7	protein_coding	ENSG00000026751
RGS18	protein_coding	ENSG00000150681
GNPAT	protein_coding	ENSG00000116906
TGFB2	protein_coding	ENSG00000092969
ODR4	protein_coding	ENSG00000157181
FMO4	protein_coding	ENSG00000076258
NSL1	protein_coding	ENSG00000117697
HFM1	protein_coding	ENSG00000162669
ATP1A4	protein_coding	ENSG00000132681
GALNT2	protein_coding	ENSG00000143641
FMO1	protein_coding	ENSG00000010932
SPRTN	protein_coding	ENSG00000010072
EGLN1	protein_coding	ENSG00000135766
FCRL1	protein_coding	ENSG00000163534
GNG4	protein_coding	ENSG00000168243
PAPPA2	protein_coding	ENSG00000116183
LRRN2	protein_coding	ENSG00000170382
PPP2R5A	protein_coding	ENSG00000066027
C1orf100	protein_coding	ENSG00000173728
RNASEL	protein_coding	ENSG00000135828
SPATA45	protein_coding	ENSG00000185523
PLA2G4A	protein_coding	ENSG00000116711
ETNK2	protein_coding	ENSG00000143845
SHCBP1L	protein_coding	ENSG00000157060
LPGAT1	protein_coding	ENSG00000123684
PFKFB2	protein_coding	ENSG00000123836
TATDN3	protein_coding	ENSG00000203705
SELP	protein_coding	ENSG00000174175
CAMK1G	protein_coding	ENSG00000008118
ZNF672	protein_coding	ENSG00000171161
LAMB3	protein_coding	ENSG00000196878
ARHGEF10L	protein_coding	ENSG00000074964
NOS1AP	protein_coding	ENSG00000198929
ANGEL2	protein_coding	ENSG00000174606
ITLN1	protein_coding	ENSG00000179914
RGSL1	protein_coding	ENSG00000121446
EXOC8	protein_coding	ENSG00000116903
BRINP2	protein_coding	ENSG00000198797
NEK7	protein_coding	ENSG00000151414
PGBD5	protein_coding	ENSG00000177614
ANKRD45	protein_coding	ENSG00000183831
ZNF695	protein_coding	ENSG00000197472
RPS6KC1	protein_coding	ENSG00000136643
PM20D1	protein_coding	ENSG00000162877
ZNF670-ZNF695	protein_coding	ENSG00000135747
NUP133	protein_coding	ENSG00000069248
RGS21	protein_coding	ENSG00000253148
RGS1	protein_coding	ENSG00000090104
PGBD2	protein_coding	ENSG00000185220
FLVCR1	protein_coding	ENSG00000162769
SLC41A1	protein_coding	ENSG00000133065
USH2A	protein_coding	ENSG00000042781
ZNF670	protein_coding	ENSG00000277462
ADSS2	protein_coding	ENSG00000035687
PLD5	protein_coding	ENSG00000180287
ACBD6	protein_coding	ENSG00000230124
ST7L	protein_coding	ENSG00000007341
XPR1	protein_coding	ENSG00000143324
KIF14	protein_coding	ENSG00000118193
STYXL2	protein_coding	ENSG00000198842
COLGALT2	protein_coding	ENSG00000198756
SDCCAG8	protein_coding	ENSG00000054282
SLC35F3	protein_coding	ENSG00000183780
ZNF281	protein_coding	ENSG00000162702
MAEL	protein_coding	ENSG00000143194
ARID4B	protein_coding	ENSG00000054267
SH3BP5L	protein_coding	ENSG00000175137
WNT2B	protein_coding	ENSG00000134245
NUCKS1	protein_coding	ENSG00000069275
FYB2	protein_coding	ENSG00000187889
CDC7	protein_coding	ENSG00000097046
TEX50	protein_coding	ENSG00000232113
GPR52	protein_coding	ENSG00000203737
SMYD3	protein_coding	ENSG00000185420
KLHL20	protein_coding	ENSG00000076321
RAB29	protein_coding	ENSG00000117280
KCTD3	protein_coding	ENSG00000136636
ZC3H12A	protein_coding	ENSG00000163874
HHAT	protein_coding	ENSG00000054392
CD244	protein_coding	ENSG00000122223
RBM34	protein_coding	ENSG00000188739
TEDDM1	protein_coding	ENSG00000203730
HMCN1	protein_coding	ENSG00000143341
PDC	protein_coding	ENSG00000116703
CAMK2N1	protein_coding	ENSG00000162545
MUL1	protein_coding	ENSG00000090432
FAM43B	protein_coding	ENSG00000183114
CDA	protein_coding	ENSG00000158825
PINK1	protein_coding	ENSG00000158828
CDC73	protein_coding	ENSG00000134371
B3GALT2	protein_coding	ENSG00000162630
LRRC40	protein_coding	ENSG00000066557
ANKRD13C	protein_coding	ENSG00000118454
CTH	protein_coding	ENSG00000116761
E2F2	protein_coding	ENSG00000007968
ID3	protein_coding	ENSG00000117318
RPL11	protein_coding	ENSG00000142676
PITHD1	protein_coding	ENSG00000057757
LYPLA2	protein_coding	ENSG00000011009
GALE	protein_coding	ENSG00000117308
APCS	protein_coding	ENSG00000132703
CRP	protein_coding	ENSG00000132693
DUSP23	protein_coding	ENSG00000158716
FCRL6	protein_coding	ENSG00000181036
SLAMF8	protein_coding	ENSG00000158714
VSIG8	protein_coding	ENSG00000243284
CFAP45	protein_coding	ENSG00000213085
SLAMF9	protein_coding	ENSG00000162723
ATP1A1	protein_coding	ENSG00000163399
ZBTB41	protein_coding	ENSG00000177888
EFNA4	protein_coding	ENSG00000243364
EFNA4-EFNA3	protein_coding	ENSG00000251246
EFNA3	protein_coding	ENSG00000143590
EFNA1	protein_coding	ENSG00000169242
SLC50A1	protein_coding	ENSG00000169241
KRTCAP2	protein_coding	ENSG00000163463
THBS3	protein_coding	ENSG00000169231
GBA1	protein_coding	ENSG00000177628
SCAMP3	protein_coding	ENSG00000116521
CLK2	protein_coding	ENSG00000176444
HCN3	protein_coding	ENSG00000143630
PKLR	protein_coding	ENSG00000143627
CR1L	protein_coding	ENSG00000197721
CD34	protein_coding	ENSG00000174059
PGD	protein_coding	ENSG00000142657
CENPS-CORT	protein_coding	ENSG00000251503
CENPS	protein_coding	ENSG00000175279
DFFA	protein_coding	ENSG00000160049
LAX1	protein_coding	ENSG00000122188
SNRPE	protein_coding	ENSG00000182004
SMPDL3B	protein_coding	ENSG00000130768
XKR8	protein_coding	ENSG00000158156
FAM89A	protein_coding	ENSG00000182118
C1orf131	protein_coding	ENSG00000143633
TOE1	protein_coding	ENSG00000132773
TESK2	protein_coding	ENSG00000070759
CCDC163	protein_coding	ENSG00000280670
MMACHC	protein_coding	ENSG00000132763
GCSAML	protein_coding	ENSG00000169224
OR2G2	protein_coding	ENSG00000177489
OR2G3	protein_coding	ENSG00000177476
CHRM3	protein_coding	ENSG00000133019
EEIG2	protein_coding	ENSG00000162636
HENMT1	protein_coding	ENSG00000162639
PRPF38B	protein_coding	ENSG00000134186
FNDC7	protein_coding	ENSG00000143107
STXBP3	protein_coding	ENSG00000116266
TMEM167B	protein_coding	ENSG00000215717
DAP3	protein_coding	ENSG00000132676
SYT11	protein_coding	ENSG00000132718
KHDC4	protein_coding	ENSG00000132680
SSR2	protein_coding	ENSG00000163479
UBQLN4	protein_coding	ENSG00000160803
RAB25	protein_coding	ENSG00000132698
PMF1-BGLAP	protein_coding	ENSG00000260238
BGLAP	protein_coding	ENSG00000242252
SMG5	protein_coding	ENSG00000198952
TMEM79	protein_coding	ENSG00000163472
CCT3	protein_coding	ENSG00000163468
RHBG	protein_coding	ENSG00000132677
MEX3A	protein_coding	ENSG00000254726
CYP4X1	protein_coding	ENSG00000186377
CYP4Z1	protein_coding	ENSG00000186160
PDZK1IP1	protein_coding	ENSG00000162366
FOXE3	protein_coding	ENSG00000186790
VHLL	protein_coding	ENSG00000189030
LRRC52	protein_coding	ENSG00000162763
IGSF3	protein_coding	ENSG00000143061
GLUL	protein_coding	ENSG00000135821
NTMT2	protein_coding	ENSG00000203740
ELAVL4	protein_coding	ENSG00000162374
COA6	protein_coding	ENSG00000168275
CORT	protein_coding	ENSG00000241563
AHCTF1	protein_coding	ENSG00000153207
FRRS1	protein_coding	ENSG00000156869
LRRC7	protein_coding	ENSG00000033122
F13B	protein_coding	ENSG00000143278
LEPR	protein_coding	ENSG00000116678
PSMD4	protein_coding	ENSG00000159352
TAGLN2	protein_coding	ENSG00000158710
PEA15	protein_coding	ENSG00000162734
H6PD	protein_coding	ENSG00000049239
FOXD2	protein_coding	ENSG00000186564
DDOST	protein_coding	ENSG00000244038
PRG4	protein_coding	ENSG00000116690
ST3GAL3	protein_coding	ENSG00000126091
ZNF692	protein_coding	ENSG00000171163
FGGY	protein_coding	ENSG00000172456
PLA2G2F	protein_coding	ENSG00000158786
OLFM3	protein_coding	ENSG00000118733
PRXL2B	protein_coding	ENSG00000157870
DPM3	protein_coding	ENSG00000179085
RXFP4	protein_coding	ENSG00000173080
NPPB	protein_coding	ENSG00000120937
PLOD1	protein_coding	ENSG00000083444
MIIP	protein_coding	ENSG00000116691
TNFRSF8	protein_coding	ENSG00000120949
RBBP4	protein_coding	ENSG00000162521
SYNC	protein_coding	ENSG00000162520
KIAA1522	protein_coding	ENSG00000162522
S100PBP	protein_coding	ENSG00000116497
HPCA	protein_coding	ENSG00000121905
TMEM54	protein_coding	ENSG00000121900
UFC1	protein_coding	ENSG00000143222
PPOX	protein_coding	ENSG00000143224
B4GALT3	protein_coding	ENSG00000158850
ADAMTS4	protein_coding	ENSG00000158859
FCER1G	protein_coding	ENSG00000158869
APOA2	protein_coding	ENSG00000158874
TOMM40L	protein_coding	ENSG00000158882
NR1I3	protein_coding	ENSG00000143257
PCP4L1	protein_coding	ENSG00000248485
CFAP126	protein_coding	ENSG00000188931
GJA5	protein_coding	ENSG00000265107
GJA8	protein_coding	ENSG00000121634
GPR89B	protein_coding	ENSG00000188092
MFN2	protein_coding	ENSG00000116688
TMCO2	protein_coding	ENSG00000188800
ZMPSTE24	protein_coding	ENSG00000084073
COL9A2	protein_coding	ENSG00000049089
ZFP69B	protein_coding	ENSG00000187801
MPZ	protein_coding	ENSG00000158887
MTFR1L	protein_coding	ENSG00000117640
AUNIP	protein_coding	ENSG00000127423
PAQR7	protein_coding	ENSG00000182749
STMN1	protein_coding	ENSG00000117632
TMEM53	protein_coding	ENSG00000126106
ARMH1	protein_coding	ENSG00000198520
KIF2C	protein_coding	ENSG00000142945
RPS8	protein_coding	ENSG00000142937
BEST4	protein_coding	ENSG00000142959
PLK3	protein_coding	ENSG00000173846
PTCH2	protein_coding	ENSG00000117425
EIF2B3	protein_coding	ENSG00000070785
HECTD3	protein_coding	ENSG00000126107
UROD	protein_coding	ENSG00000126088
NOL9	protein_coding	ENSG00000162408
TAS1R1	protein_coding	ENSG00000173662
ZBTB48	protein_coding	ENSG00000204859
LRRC8C	protein_coding	ENSG00000171488
EPHA8	protein_coding	ENSG00000070886
HEATR1	protein_coding	ENSG00000119285
MT1HL1	protein_coding	ENSG00000244020
STX12	protein_coding	ENSG00000117758
PPP1R8	protein_coding	ENSG00000117751
THEMIS2	protein_coding	ENSG00000130775
RPA2	protein_coding	ENSG00000117748
MFAP2	protein_coding	ENSG00000117122
ATP13A2	protein_coding	ENSG00000159363
PADI2	protein_coding	ENSG00000117115
PADI1	protein_coding	ENSG00000142623
PADI3	protein_coding	ENSG00000142619
CCN1	protein_coding	ENSG00000142871
HHIPL2	protein_coding	ENSG00000143512
TAF1A	protein_coding	ENSG00000143498
MIA3	protein_coding	ENSG00000154305
AIDA	protein_coding	ENSG00000186063
BROX	protein_coding	ENSG00000162819
TLR5	protein_coding	ENSG00000187554
ERMAP	protein_coding	ENSG00000164010
ZNF691	protein_coding	ENSG00000164011
DISP1	protein_coding	ENSG00000154309
HSD3B1	protein_coding	ENSG00000203857
ZNF697	protein_coding	ENSG00000143067
HMGCS2	protein_coding	ENSG00000134240
REG4	protein_coding	ENSG00000134193
ADAM30	protein_coding	ENSG00000134249
PHGDH	protein_coding	ENSG00000092621
INSRR	protein_coding	ENSG00000027644
LRRC47	protein_coding	ENSG00000130764
TBCE	protein_coding	ENSG00000284770
DENND4B	protein_coding	ENSG00000198837
CRTC2	protein_coding	ENSG00000160741
CREB3L4	protein_coding	ENSG00000143578
JTB	protein_coding	ENSG00000143543
RAB13	protein_coding	ENSG00000143545
RPS27	protein_coding	ENSG00000177954
C1orf52	protein_coding	ENSG00000162642
CEP104	protein_coding	ENSG00000116198
DFFB	protein_coding	ENSG00000169598
ACP6	protein_coding	ENSG00000162836
C1orf21	protein_coding	ENSG00000116667
ZNF436	protein_coding	ENSG00000125945
TCEA3	protein_coding	ENSG00000204219
B3GALNT2	protein_coding	ENSG00000162885
HSPA6	protein_coding	ENSG00000173110
PROK1	protein_coding	ENSG00000143125
KCNA10	protein_coding	ENSG00000143105
KCNA2	protein_coding	ENSG00000177301
FDPS	protein_coding	ENSG00000160752
GPSM2	protein_coding	ENSG00000121957
DYNLT4	protein_coding	ENSG00000188396
KCNK2	protein_coding	ENSG00000082482
RO60	protein_coding	ENSG00000116747
SYT6	protein_coding	ENSG00000134207
TSACC	protein_coding	ENSG00000163467
CFAP57	protein_coding	ENSG00000243710
EBNA1BP2	protein_coding	ENSG00000117395
WARS2	protein_coding	ENSG00000116874
PACC1	protein_coding	ENSG00000065600
FAM76A	protein_coding	ENSG00000009780
GLRX2	protein_coding	ENSG00000023572
PUM1	protein_coding	ENSG00000134644
TNFRSF25	protein_coding	ENSG00000215788
RCOR3	protein_coding	ENSG00000117625
CFAP276	protein_coding	ENSG00000179902
ZCCHC17	protein_coding	ENSG00000121766
POGK	protein_coding	ENSG00000143157
PAQR6	protein_coding	ENSG00000160781
RGL1	protein_coding	ENSG00000143344
HAO2	protein_coding	ENSG00000116882
ITGB3BP	protein_coding	ENSG00000142856
TRIM63	protein_coding	ENSG00000158022
KCNC4	protein_coding	ENSG00000116396
